Width,Height,MaxIter,BlockX,BlockY,GridX,GridY,Time
ERROR: Image is not valid for settings (2400,2400,10000,912,864,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,880,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,896,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,912,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,928,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,944,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,960,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,976,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,992,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,1008,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,912,1024,2,2).
ERROR: Image is not valid for settings (2400,2400,10000,928,1,2,2400).
ERROR: Image is not valid for settings (2400,2400,10000,928,16,2,150).
ERROR: Image is not valid for settings (2400,2400,10000,928,32,2,75).
ERROR: Image is not valid for settings (2400,2400,10000,928,48,2,50).
ERROR: Image is not valid for settings (2400,2400,10000,928,64,2,37).
ERROR: Image is not valid for settings (2400,2400,10000,928,80,2,30).
ERROR: Image is not valid for settings (2400,2400,10000,928,96,2,25).
ERROR: Image is not valid for settings (2400,2400,10000,928,112,2,21).
ERROR: Image is not valid for settings (2400,2400,10000,928,128,2,18).
ERROR: Image is not valid for settings (2400,2400,10000,928,144,2,16).
ERROR: Image is not valid for settings (2400,2400,10000,928,160,2,15).
ERROR: Image is not valid for settings (2400,2400,10000,928,176,2,13).
ERROR: Image is not valid for settings (2400,2400,10000,928,192,2,12).
ERROR: Image is not valid for settings (2400,2400,10000,928,208,2,11).
ERROR: Image is not valid for settings (2400,2400,10000,928,224,2,10).
ERROR: Image is not valid for settings (2400,2400,10000,928,240,2,10).
ERROR: Image is not valid for settings (2400,2400,10000,928,256,2,9).
ERROR: Image is not valid for settings (2400,2400,10000,928,272,2,8).
ERROR: Image is not valid for settings (2400,2400,10000,928,288,2,8).
ERROR: Image is not valid for settings (2400,2400,10000,928,304,2,7).
ERROR: Image is not valid for settings (2400,2400,10000,928,320,2,7).
ERROR: Image is not valid for settings (2400,2400,10000,928,336,2,7).
ERROR: Image is not valid for settings (2400,2400,10000,928,352,2,6).
ERROR: Image is not valid for settings (2400,2400,10000,928,368,2,6).
ERROR: Image is not valid for settings (2400,2400,10000,928,384,2,6).
ERROR: Image is not valid for settings (2400,2400,10000,928,400,2,6).
ERROR: Image is not valid for settings (2400,2400,10000,928,416,2,5).
ERROR: Image is not valid for settings (2400,2400,10000,928,432,2,5).
